N_valid,dataset_id,delta_mean_over_oz_vs_nvp,delta_mean_policy45_regret_vs_nvp,margin_bin_regret,mean_admitted_candidate_count,mean_candidate_value_cross_entropy,mean_kendall_tau_b,mean_mean_admitted_candidate_length,mean_mean_over_oz,mean_oracle_rank,mean_oracle_top1_hit,mean_oracle_top5_hit,mean_policy45_regret_bytes,mean_score_length_pearson,mean_spearman,mean_top10_pairwise_inversions,mean_top5_pairwise_inversions,median_admitted_candidate_count,median_candidate_value_cross_entropy,median_kendall_tau_b,median_mean_admitted_candidate_length,median_mean_over_oz,median_oracle_rank,median_oracle_top1_hit,median_oracle_top5_hit,median_policy45_regret_bytes,median_score_length_pearson,median_spearman,median_top10_pairwise_inversions,median_top5_pairwise_inversions,method,policy_cases,selected_length_regret,spearman_ce_vs_mean_over_oz,spearman_ce_vs_oracle_rank,spearman_ce_vs_policy45_regret,split
2997,anghabench-v1,-0.0002406366629247661,0.02268935602268929,"{'small': 1.7974888618874039, 'large': 7.446969696969697}",4.03003003003003,3.8558372659008984,0.4048353193940666,12.676070514959404,0.03668340861622429,4.191524858191525,0.6329662996329662,0.8335001668335001,2.7927927927927927,0.4603742542021092,0.5038918336620171,4.509175842509176,0.948948948948949,4.0,3.8703041957459496,0.39227366463775987,12.25,0.0014265335235378032,1.0,1.0,1.0,0.0,0.5122267427077902,0.5081546656728769,0.0,0.0,AnchoredMambaNVP,"{'oracle_admitted_zero_regret': 2410, 'oracle_not_admitted_top10': 256, 'oracle_not_admitted_beyond_top10': 299, 'oracle_admitted_nonzero_regret': 32}","{'7': 9.0, '8': 3.2406015037593985, '9': 2.1, '10': 0.1, '11': 2.6219512195121952, '12': 0.44, '13': 2.03125, '14': 0.6260869565217392, '15': 4.386416861826698, '16': 3.5520361990950224, '17': 4.242718446601942, '18': 1.8210526315789475, '20': 0.0}",-0.07786159418348494,0.14559145951447416,0.19775853100863652,final
2997,anghabench-v1,-0.0002751072663610757,0.02035368702035356,"{'small': 1.7922235722964763, 'large': 7.458333333333333}",4.047380714047381,3.8558511086457594,0.4047770892967621,12.611984206428652,0.03664893801278798,4.188855522188856,0.6289622956289623,0.8355021688355022,2.790457123790457,0.4610211910921324,0.5039155119988162,4.507173840507174,0.943943943943944,4.0,3.870013045000825,0.3930067066915273,12.25,0.0014265335235378032,1.0,1.0,1.0,0.0,0.5131097728193657,0.508864687364724,0.0,0.0,DirectMambaNVP,"{'oracle_admitted_zero_regret': 2405, 'oracle_not_admitted_top10': 263, 'oracle_not_admitted_beyond_top10': 295, 'oracle_admitted_nonzero_regret': 34}","{'7': 8.454545454545455, '8': 3.201693610469592, '9': 1.914572864321608, '10': 0.22784810126582278, '11': 1.8831168831168832, '12': 0.05, '13': 2.909090909090909, '14': 0.7727272727272727, '15': 4.315476190476191, '16': 4.673469387755102, '17': 3.25531914893617, '18': 3.358974358974359, '20': 0.0}",-0.07845794218551816,0.15410301532882686,0.19466645542674058,final
2997,anghabench-v1,-0.0013337863680235873,0.4674674674674675,"{'small': 1.8748481166464155, 'large': 9.609848484848484}",4.047714381047714,3.869265736632749,0.3672039019463642,12.772590844813069,0.035590258911125466,4.127127127127127,0.600266933600267,0.8301634968301635,3.237570904237571,0.4405491299604423,0.46037974368083295,4.632632632632633,0.9863196529863196,4.0,3.8779731360105,0.3875617133214439,12.5,0.0,1.0,1.0,1.0,0.0,0.48533959587082964,0.46998761190284244,0.0,0.0,Mamba,"{'oracle_admitted_zero_regret': 2357, 'oracle_not_admitted_beyond_top10': 288, 'oracle_not_admitted_top10': 300, 'oracle_admitted_nonzero_regret': 52}","{'4': 4.954545454545454, '7': 2.5625, '8': 3.5939086294416245, '9': 5.008196721311475, '10': 0.5664335664335665, '11': 1.58, '12': 1.875, '13': 3.467741935483871, '14': 0.32054794520547947, '15': 3.8274932614555257, '16': 3.813953488372093, '17': 6.876404494382022, '18': 7.147058823529412}",-0.07612488572618852,0.14198049223702694,0.14501834381944434,final
2997,anghabench-v1,0.0,0.0,"{'small': 1.701093560145808, 'large': 7.768939393939394}",4.0347013680347015,3.855721655273255,0.4050294528951069,12.61036036036036,0.036924045279149054,4.196196196196196,0.6316316316316316,0.8378378378378378,2.7701034367701034,0.4591919122690787,0.5041443997206521,4.504170837504171,0.9486152819486153,4.0,3.8698488741412245,0.39302428055577304,12.25,0.0014265335235378032,1.0,1.0,1.0,0.0,0.5102174398145469,0.5105563586276894,0.0,0.0,NVP,"{'oracle_admitted_zero_regret': 2410, 'oracle_not_admitted_top10': 255, 'oracle_not_admitted_beyond_top10': 296, 'oracle_admitted_nonzero_regret': 36}","{'7': 9.571428571428571, '8': 3.2650273224043715, '9': 3.056872037914692, '10': 0.07058823529411765, '11': 1.556701030927835, '12': 0.037037037037037035, '13': 1.5, '14': 0.853448275862069, '15': 3.363013698630137, '16': 4.6, '17': 4.271604938271605, '18': 2.011764705882353, '20': 1.4}",-0.07304556366211774,0.15371894363468253,0.19510846833649614,final
87,blas-v0,-8.839976372156631e-05,-0.045977011494251485,"{'small': 8.142857142857142, 'large': 35.15151515151515}",3.7126436781609193,3.887594149867054,0.2878598347801763,14.278544061302684,0.011258671188894441,14.471264367816092,0.06896551724137931,0.4482758620689655,28.632183908045977,0.3806102426545084,0.3913881082037587,16.735632183908045,3.8045977011494254,4.0,3.892805180112218,0.34004024064220584,14.5,0.008520526723470178,7.0,0.0,0.0,17.0,0.3918274195033344,0.4716710510517625,18.0,3.0,AnchoredMambaNVP,"{'oracle_admitted_nonzero_regret': 5, 'oracle_not_admitted_top10': 25, 'oracle_admitted_zero_regret': 22, 'oracle_not_admitted_beyond_top10': 35}","{'7': 64.0, '8': 65.0, '10': 14.25, '12': 7.2, '13': 8.75, '14': 34.0, '15': 44.0, '16': 37.55263157894737, '17': 27.285714285714285, '18': 20.4}",-0.06362998949186308,0.4685852729569359,0.2707670974814894,final
87,blas-v0,-0.0007675421420479216,1.6206896551724164,"{'small': 8.142857142857142, 'large': 37.34848484848485}",3.689655172413793,3.8874146103289497,0.2874392722953595,14.475862068965519,0.010579528810568086,14.298850574712644,0.06896551724137931,0.42528735632183906,30.298850574712645,0.38493919700317003,0.3914740790016593,16.563218390804597,3.839080459770115,4.0,3.8919542005138643,0.33717045726591766,14.5,0.00816326530612245,7.0,0.0,0.0,20.0,0.39445238837900287,0.47103339262380617,18.0,3.0,DirectMambaNVP,"{'oracle_admitted_nonzero_regret': 4, 'oracle_not_admitted_top10': 26, 'oracle_admitted_zero_regret': 22, 'oracle_not_admitted_beyond_top10': 35}","{'7': 64.0, '10': 14.25, '12': 18.4375, '13': 10.333333333333334, '14': 34.0, '15': 44.0, '16': 41.404761904761905, '17': 13.5, '18': 20.4}",-0.04598833568066613,0.4784157760706913,0.25409569266520515,final
87,blas-v0,-0.005951206385259835,38.126436781609186,"{'small': 6.0, 'large': 86.15151515151516}",4.114942528735632,3.931461839647031,0.2232212868076885,12.88352490421456,0.005395864567356173,18.402298850574713,0.06896551724137931,0.16091954022988506,66.80459770114942,0.2727328587419835,0.30818182284683227,18.448275862068964,4.0344827586206895,4.0,3.9180461676341958,0.2585636059651003,13.0,0.0018832391713747645,16.0,0.0,0.0,19.0,0.2509469827268774,0.36125824623055436,19.0,4.0,Mamba,"{'oracle_admitted_nonzero_regret': 1, 'oracle_not_admitted_beyond_top10': 55, 'oracle_admitted_zero_regret': 13, 'oracle_not_admitted_top10': 18}","{'7': 40.666666666666664, '8': 71.6, '10': 93.05263157894737, '12': 71.28571428571429, '13': 34.592592592592595, '15': 30.333333333333332, '17': 516.0, '18': 27.0}",-0.06141503353389513,0.2694545879485056,0.22151642137197738,final
87,blas-v0,0.0,0.0,"{'small': 8.142857142857142, 'large': 35.21212121212121}",3.67816091954023,3.88766986531778,0.2871519638053567,14.45383141762452,0.011347070952616008,14.448275862068966,0.08045977011494253,0.4367816091954023,28.67816091954023,0.38788448363570915,0.39137345134629575,16.632183908045977,3.8505747126436782,4.0,3.892346292484186,0.3434709033050899,14.5,0.008520526723470178,6.0,0.0,0.0,17.0,0.397821864314272,0.4630936623819004,18.0,3.0,NVP,"{'oracle_admitted_nonzero_regret': 8, 'oracle_not_admitted_top10': 20, 'oracle_admitted_zero_regret': 22, 'oracle_not_admitted_beyond_top10': 37}","{'7': 64.0, '10': 14.25, '12': 12.1875, '13': 10.333333333333334, '15': 44.0, '16': 41.41463414634146, '17': 13.5, '18': 19.428571428571427}",-0.04994552971921625,0.472186155482442,0.2672700851109645,final
33,cbench-v1,0.00019785933656019106,-12.363636363636374,"{'small': 43.75, 'large': 319.0}",3.787878787878788,3.884472592914578,0.3103186773812629,13.822222222222223,0.1881873749429976,13.181818181818182,0.09090909090909091,0.30303030303030304,218.9090909090909,0.23956556939230067,0.4217256325544471,13.454545454545455,3.878787878787879,4.0,3.8754858123971268,0.3440496930416997,13.75,0.13239644970414202,9.0,0.0,0.0,38.0,0.21456522639599218,0.47772274591316466,13.0,3.0,AnchoredMambaNVP,"{'oracle_admitted_zero_regret': 6, 'oracle_not_admitted_top10': 14, 'oracle_not_admitted_beyond_top10': 13}","{'4': 260.5, '8': 107.0, '13': 19.0, '15': 1729.0, '16': 248.88888888888889, '17': 357.3333333333333}",0.08461115907332632,0.31489110659930913,0.32091060630942597,final
33,cbench-v1,3.2363229592546894e-05,-0.24242424242424931,"{'small': 48.25, 'large': 335.4761904761905}",3.8181818181818183,3.8846204830880873,0.30910050152461294,13.723737373737373,0.18802187883602994,13.272727272727273,0.09090909090909091,0.2727272727272727,231.03030303030303,0.24158484076738726,0.42065838887925894,13.424242424242424,3.878787878787879,4.0,3.873612736850994,0.33877883291055905,13.75,0.13239644970414202,9.0,0.0,0.0,38.0,0.21368096558155847,0.47957930802655185,13.0,3.0,DirectMambaNVP,"{'oracle_admitted_zero_regret': 6, 'oracle_not_admitted_top10': 14, 'oracle_not_admitted_beyond_top10': 13}","{'4': 464.5, '8': 110.6, '13': 233.25, '15': 1729.0, '16': 242.0, '17': 98.0}",0.08094552710294872,0.3239496974948238,0.3045307452792821,final
