method,split,record_type,seed,dataset_id,N_total,N_valid,MeanOverOz,delta_vs_NVP,policy45_regret_bytes,oracle_recovery,top1_oracle_hit,top5_oracle_hit,median_dataset_delta_vs_NVP,positive_dataset_count,negative_dataset_count,leave_LLVM_Stress_out_macro_delta_vs_NVP,source_artifact_path
NVP,validation,dataset_macro_3seed,,,4488,4488,0.06277100953471096,0.0,7.785130718954249,0.81061147610882,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_macro_seed,1,,4488,4488,0.06284381550402421,7.28059693132499e-05,7.61319073083779,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_macro_seed,2,,4488,4488,0.062365030568491374,-0.0004059789662195848,7.521167557932264,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_macro_seed,3,,4488,4488,0.06310418253161729,0.00033317299690632796,8.221033868092691,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,anghabench-v1,,,0.03817004326975951,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,blas-v0,,,0.024630738764754804,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,clgen-v0,,,0.08507315389494298,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,csmith-v0,,,0.24451250967757532,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,github-v0,,,0.010019275687108828,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,linux-v0,,,0.0020201084017679115,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,llvm-stress-v0,,,-0.0518445190863635,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,opencv-v0,,,0.0521639981067478,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,poj104-v1,,,0.19230666636033591,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
NVP,validation,dataset_3seed,,tensorflow-v0,,,0.030658120270480038,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_macro_3seed,,,4488,4488,0.06224203633966229,-0.0005289731950486667,10.90121806298277,0.8037804286931609,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_macro_seed,1,,4488,4488,0.062238837856702735,-0.0005321716780082239,10.073752228163993,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_macro_seed,2,,4488,4488,0.06152506722228346,-0.0012459423124275004,12.030303030303031,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_macro_seed,3,,4488,4488,0.06296220394000068,0.0001911944052897241,10.599598930481283,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,anghabench-v1,,,0.03906799747775683,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,blas-v0,,,0.024549163481764526,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,clgen-v0,,,0.08614198491302771,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,csmith-v0,,,0.22905770562553787,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,github-v0,,,0.008500550039702695,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,linux-v0,,,-0.0041455987068362565,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,llvm-stress-v0,,,-0.035105339453309264,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,opencv-v0,,,0.05222973560941865,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,poj104-v1,,,0.19206934883542592,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
MLP,validation,dataset_3seed,,tensorflow-v0,,,0.030054815574134277,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_macro_3seed,,,4488,4488,0.06063541070748835,-0.0021355988272226054,10.662878787878787,0.7830328067430852,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_macro_seed,1,,4488,4488,0.05742434922335341,-0.005346660311357547,10.880124777183601,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_macro_seed,2,,4488,4488,0.05917726290521683,-0.0035937466294941253,9.580659536541889,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_macro_seed,3,,4488,4488,0.06530461999389482,0.002533610459183863,11.527852049910873,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,anghabench-v1,,,0.04084357142711145,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,blas-v0,,,0.021652316383815318,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,clgen-v0,,,0.08742419365658533,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,csmith-v0,,,0.22857179556298982,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,github-v0,,,0.0085055206541591,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,linux-v0,,,-6.225167938901542e-05,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,llvm-stress-v0,,,-0.05625769176546713,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,opencv-v0,,,0.05219378318990983,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,poj104-v1,,,0.19225478852297098,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
LSTM,validation,dataset_3seed,,tensorflow-v0,,,0.031228081122197836,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_macro_3seed,,,4488,4488,0.06297066721540395,0.00019965768069299394,10.384878193701724,0.8131898129630889,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_macro_seed,1,,4488,4488,0.06394440755644565,0.0011733980217346895,10.440508021390375,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_macro_seed,2,,4488,4488,0.06447248758569549,0.0017014780509845284,10.418672014260249,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_macro_seed,3,,4488,4488,0.060495106504070736,-0.0022759030306402223,10.295454545454545,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,anghabench-v1,,,0.040070596031976685,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,blas-v0,,,0.02183076060115122,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,clgen-v0,,,0.08662948262019987,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,csmith-v0,,,0.24073798399358304,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,github-v0,,,0.008655927453066946,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,linux-v0,,,-0.0027925264596877653,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,llvm-stress-v0,,,-0.038753639674100594,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,opencv-v0,,,0.050226925550245966,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,poj104-v1,,,0.19236352369513035,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Transformer,validation,dataset_3seed,,tensorflow-v0,,,0.03073763834247384,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_macro_3seed,,,4488,4488,0.06355291510205446,0.0007819055673435049,9.502822341057636,0.8207088384233696,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_macro_seed,1,,4488,4488,0.063095014307107,0.00032400477239603875,9.68783422459893,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_macro_seed,2,,4488,4488,0.0628207157907167,4.970625600574097e-05,9.497994652406417,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_macro_seed,3,,4488,4488,0.0647430152083397,0.001972005673628735,9.322638146167558,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,anghabench-v1,,,0.04042590894048311,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,blas-v0,,,0.0192609710033135,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,clgen-v0,,,0.08724071549632108,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,csmith-v0,,,0.237281669745915,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,github-v0,,,0.008655077615970863,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,linux-v0,,,-0.002156980820892888,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,llvm-stress-v0,,,-0.032944656320520314,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,opencv-v0,,,0.05333860736598112,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,poj104-v1,,,0.19269144869975138,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Mamba,validation,dataset_3seed,,tensorflow-v0,,,0.03173638929422178,,,,,,,,,,outputs/route_a_stage_b_v6/comparison_report.json
Direct MambaNVP,validation,dataset_macro_3seed,,,4488,4488,0.06260238916621794,-0.0001686203684930221,7.7105614973262036,0.8084339485077934,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_macro_seed,1,,4488,4488,0.0631153533001637,0.0003443437654527398,7.50222816399287,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_macro_seed,2,,4488,4488,0.062290650307568404,-0.0004803592271425544,7.467245989304812,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_macro_seed,3,,4488,4488,0.06240116389092171,-0.00036984564378925167,8.162210338680927,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,anghabench-v1,,,0.040052006756403746,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,blas-v0,,,0.025231804718977763,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,clgen-v0,,,0.08487561613429469,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,csmith-v0,,,0.24460999285549453,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,github-v0,,,0.010032603498614295,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,linux-v0,,,0.00250869011310894,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,llvm-stress-v0,,,-0.05597128699029385,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,opencv-v0,,,0.05181622652448666,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,poj104-v1,,,0.19224105042545026,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Direct MambaNVP,validation,dataset_3seed,,tensorflow-v0,,,0.03062718762564236,,,,,,,,,,outputs/mamba_nvp_objecttext_v6/comparison_report.json
Anchored MambaNVP,validation,dataset_macro_3seed,,,4488,4488,0.06211450015684102,-0.0006565093778699363,7.702688651218064,0.802133453534081,0.6570112893642305,,,,,,outputs/gated_calibrated_mambanvp_v2/comparison_report.json
Anchored MambaNVP,validation,dataset_macro_seed,1,,4488,4488,0.06313043252765024,0.0003594229929392845,7.494429590017825,,0.6579768270944741,,,,,,outputs/gated_calibrated_mambanvp_v2/comparison_report.json
Anchored MambaNVP,validation,dataset_macro_seed,2,,4488,4488,0.06074945034704312,-0.0020215591876678388,7.492869875222817,,0.6590909090909091,,,,,,outputs/gated_calibrated_mambanvp_v2/comparison_report.json
Anchored MambaNVP,validation,dataset_macro_seed,3,,4488,4488,0.062463617595829704,-0.0003073919388812546,8.120766488413548,,0.6539661319073083,,,,,,outputs/gated_calibrated_mambanvp_v2/comparison_report.json
PA-MambaNVP,validation,dataset_macro_3seed,,,4488,4488,0.06771170961823382,0.0049407000835228615,6.9505347593582885,0.8744146269168498,0.6695632798573975,0.88732917409388,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
PA-MambaNVP,validation,dataset_macro_seed,1,,4488,4488,0.06764865274412538,0.004877643209414417,,,,,,,,,outputs/policy_aware_mambanvp_v1/comparison_report.json
