replicate,pa_dataset_macro_mean_over_oz,nvp_dataset_macro_mean_over_oz,paired_dataset_macro_delta
0,0.08521496212328789,0.08709050914067872,-0.00187554701739083
1,0.0930006594450686,0.08933052351339411,0.0036701359316744925
2,0.08630186749158462,0.07892666880996875,0.007375198681615874
3,0.08788762649426363,0.08775346401785734,0.00013416247640628265
4,0.09235817211799112,0.08861470367553928,0.003743468442451839
5,0.08492554711848088,0.08221560576166408,0.0027099413568168057
6,0.093438019638804,0.08981198773980739,0.003626031898996615
7,0.08472689404473968,0.08374995281272267,0.0009769412320170118
8,0.0947052654234807,0.09173088575930155,0.0029743796641791553
9,0.100727831940642,0.09736826717505807,0.003359564765583925
10,0.0876758517239711,0.08665044194822692,0.0010254097757441821
11,0.08620925383082578,0.08521458178574216,0.0009946720450836194
12,0.08769682205874531,0.08414430814978442,0.003552513908960886
13,0.09099870198257189,0.08845385421585884,0.002544847766713043
14,0.09343498292393301,0.09032414448773107,0.0031108384362019403
15,0.09955114545594822,0.0952185444221772,0.004332601033771019
16,0.08896985011614124,0.0860491324476981,0.0029207176684431374
17,0.08336430565950513,0.0797028010291622,0.0036615046303429266
18,0.09622715225977986,0.09430948136047611,0.0019176708993037528
19,0.09448920536069506,0.0897685018973388,0.004720703463356263
20,0.08079338504986275,0.07907211910361465,0.0017212659462480934
21,0.09254290305711743,0.0871634781024134,0.005379424954704032
22,0.08296080140419902,0.0835535447737374,-0.0005927433695383788
23,0.0951529098972131,0.0944064533264064,0.0007464565708067
24,0.09512659728453204,0.09075648985763464,0.004370107426897404
25,0.09188033318377048,0.08964866581819032,0.002231667365580156
26,0.07571974642919198,0.07222181111267116,0.003497935316520817
27,0.09998346024190137,0.09541237329596373,0.004571086945937636
28,0.07446739184314277,0.07499824116908445,-0.0005308493259416763
29,0.08510838554431675,0.08143490678844198,0.0036734787558747733
30,0.09217747290065069,0.08732925201381198,0.004848220886838714
31,0.08334815657198062,0.08005413924244925,0.0032940173295313707
32,0.08397118823935623,0.082017760038536,0.0019534282008202286
33,0.08246463519856799,0.07964553431570978,0.002819100882858208
34,0.08678992313845105,0.08608367155969247,0.0007062515787585738
