dataset_id,N_paired_valid,PA_MeanOverOz,NVP_MeanOverOz,paired_delta
anghabench-v1,999,0.03410623994307411,0.036924045279149054,-0.0028178053360749396
blas-v0,29,0.010702172649228977,0.011347070952616004,-0.0006448983033870255
cbench-v1,11,0.19541494046865207,0.1879895156064374,0.007425424862214669
chstone-v0,12,0.09465161972636009,0.09213995834981131,0.0025116613765487597
clgen-v0,150,0.10290792692496882,0.10109631238884084,0.001811614536127966
csmith-v0,48,0.25723008478960213,0.258398018269704,-0.0011679334801018985
github-v0,1000,0.007685414225408816,0.007203947138167238,0.0004814670872415796
linux-v0,1000,0.00034571333664393044,0.0030419354977209226,-0.0026962221610769923
llvm-stress-v0,147,-0.043509998374582116,-0.044866218250611815,0.0013562198760296974
mibench-v1,40,0.0718116630070736,0.06347396922525174,0.00833769378182186
npb-v0,121,0.22997928607958368,0.2203533629463132,0.009625923133270499
opencv-v0,32,0.043813466650138674,0.04105173737972869,0.002761729270409984
poj104-v1,1000,0.18639329155087395,0.18685899119157062,-0.00046569964069670253
tensorflow-v0,90,0.05652788535983026,0.05515304300285386,0.001374842356976398
